"";"RFAID";"Context";"Level";"Parts";"Lip";"Collar";"Rim";"MnBT";"Angle.fc";"Diameter";"Temper";"Slip";"Burnish";"JAS_decor";"Loc1"
"154";"MAR2_46";"";"-50";"H";"";"";"Ev";NA;NA;NA;"32";"yes_s";"no_b";"Undecorated";""
"155";"MAR2_30";"";"-50";"Bo";"";"";"Ev";8;NA;NA;"34";"yes_s";"no_b";"Various Impressions";"Bo"
"156";"MAR2_50";"";"-50";"Bo";"";"";"Ev";11;NA;NA;"31";"yes_s";"no_b";"Undecorated";""
"157";"MAR2_42";"";"-50";"Bo";"";"";"Ev";8;NA;NA;"31";"yes_s";"no_b";"Mat";"Bo"
"158";"MAR2_16";"";"-20";"Bo";"";"";"Ev";NA;NA;NA;"41";"no_s";"no_b";"Various Impressions";"Bo"
"159";"MAR2_17";"";"-20";"H";"";"";"Ev";NA;NA;NA;"31";"yes_s";"no_b";"Undecorated";""
"160";"MAR1_1";"";"-10";"Bo";"";"";"Ev";8;NA;NA;"31";"no_s";"no_b";"Incision";"Bo"
"161";"MAR_206";"";"";"Bo";"";"";"Ev";5;NA;NA;"34";"yes_s";"yes_b";"Paint";"Bo"
"162";"MAR1_3";"";"-10";"Bo";"";"";"Ev";7;NA;NA;"34";"yes_s";"no_b";"Mat";"Bo"
"163";"MAR1_18";"";"-20";"Bo";"";"";"Ev";8;NA;NA;"31";"no_s";"no_b";"Various Impressions";"Bo"
"164";"MAR1_12";"";"-20";"Bo";"";"";"Ev";8;NA;NA;"34";"no_s";"yes_b";"UR";"Bo"
"165";"MAR1_11";"";"-20";"BoH";"";"";"Ev";7;NA;NA;"34";"yes_s";"no_b";"Undecorated";""
"166";"MAR1_8";"";"-20";"Bo";"";"";"Ev";7;NA;NA;"31";"no_s";"no_b";"Mat";"Bo"
"167";"MAR1_21";"";"-20";"Bo";"";"";"Ev";8;NA;NA;"34";"yes_s";"yes_b";"Mat";"Bo"
"168";"MAR1_7";"";"-20";"Bo";"";"";"Ev";8;NA;NA;"34";"yes_s";"no_b";"Various Impressions";"Bo"
"169";"MAR1_15";"";"-30";"Bo";"";"";"Ev";8;NA;NA;"34";"yes_s";"no_b";"Mat";"Bo"
"170";"MAR1_44";"";"-30";"Bo";"";"";"Ev";4;NA;NA;"31";"no_s";"no_b";"Undecorated";""
"171";"MAR1_30";"";"-30";"Bo";"";"";"Ev";8;NA;NA;"34";"no_s";"no_b";"Mat";"Bo"
"172";"MAR1_13";"";"-30";"Bo";"";"";"Ev";9;NA;NA;"34";"no_s";"no_b";"Twisted_cord_roulette";"Bo"
"173";"MAR1_41";"";"-30";"Bo";"";"";"Ev";9;NA;NA;"31";"no_s";"no_b";"Mat";"Bo"
"174";"MAR1_43";"";"-30";"Bo";"";"";"Ev";10;NA;NA;"34";"no_s";"no_b";"Twisted_cord_roulette";"Bo"
"175";"MAR3_114";"";"-100";"Bo";"";"";"Ev";8;NA;NA;"42";"yes_s";"no_b";"UR";"Bo"
"176";"MAR3_113";"";"-90";"Bo";"";"";"Ev";9;NA;NA;"34";"no_s";"no_b";"Braided_strip_roulette";"Bo"
"177";"MAR3_113";"";"-80";"Bo";"";"";"Ev";9;NA;NA;"31";"yes_s";"no_b";"Paint";"I"
"178";"MAR3_105";"";"-80";"Bo";"";"";"Ev";16;NA;NA;"34";"yes_s";"no_b";"Twisted_cord_roulette";"Bo"
"179";"MAR3_104";"";"-70";"Bo";"";"";"Ev";4;NA;NA;"41";"yes_s";"no_b";"Paint";"Bo"
"180";"MAR3_97";"";"-70";"Bo";"";"";"Ev";7;NA;NA;"34";"yes_s";"no_b";"Paint";"Bo"
"181";"MAR3_103";"";"-70";"Bo";"";"";"Ev";4;NA;NA;"31";"no_s";"no_b";"Undecorated";""
"182";"MAR3_102";"";"-70";"Bo";"";"";"Ev";6;NA;NA;"34";"yes_s";"no_b";"Paint";"Bo"
"183";"MAR3_85";"";"-60";"Bo";"";"";"Ev";7;NA;NA;"31";"no_s";"no_b";"Mat";"Bo"
"184";"MAR3_86";"";"-60";"Bo";"";"";"Ev";6;NA;NA;"31";"no_s";"no_b";"Twisted_cord_roulette";"Bo"
"185";"MAR3_20";"";"-20";"Bo";"";"";"Ev";11;NA;NA;"31";"no_s";"no_b";"Folded_strip_roulette";"Bo"
"186";"MAR3_209";"";"-40";"Bo";"";"";"Ev";5;NA;NA;"32";"yes_s";"yes_b";"Sgraffito";"Bo"
"187";"MAR3_208";"";"-40";"Bo";"";"";"Ev";7;NA;NA;"31";"yes_s";"yes_b";"Sgraffito";"Bo"
"188";"MAR1_4";"";"-10";"Bo";"";"";"Ev";6;NA;NA;"21";"yes_s";"yes_b";"Sgraffito";"Bo"
"189";"MAR3_6";"Pit1";"-10";"Bo";"";"";"Ev";5;NA;NA;"33";"no_s";"no_b";"Mat";"Bo"
"190";"MAR3_9";"Pit1";"-10";"Bo";"";"";"Ev";6;NA;NA;"31";"yes_s";"no_b";"Paint";"Bo"
"191";"MAR3_10";"Pit1";"-10";"H";"";"";"Ev";NA;NA;NA;"32";"yes_s";"no_b";"Undecorated";""
"192";"MAR3_11";"Pit1";"-10";"Bo";"";"";"Ev";8;NA;NA;"34";"yes_s";"no_b";"Incision";"Bo"
"193";"MAR3_15";"Pit1";"-10";"Bo";"";"";"Ev";10;NA;NA;"34";"no_s";"no_b";"Folded_strip_roulette";"Bo"
"194";"MAR3_8";"Pit1";"-10";"Bo";"";"";"Ev";8;NA;NA;"32";"yes_s";"no_b";"Undecorated";""
"195";"MAR3_47";"Pit1";"-10";"Bo";"";"";"Ev";7;NA;NA;"41";"no_s";"no_b";"Incision";"Bo"
"196";"MAR3_7";"Pit1";"-10";"Bo";"";"";"Ev";9;NA;NA;"34";"no_s";"no_b";"Folded_strip_roulette";"Bo"
"197";"MAR3_60";"";"-40";"Bo";"";"";"Ev";10;NA;NA;"33";"no_s";"no_b";"Undecorated";""
"198";"MAR3_2";"";"-10";"Bo";"";"";"Ev";10;NA;NA;"32";"yes_s";"no_b";"Incision";"Bo"
"199";"MAR3_21";"Pit1";"-20";"Bo";"";"";"Ev";4;NA;NA;"51";"no_s";"no_b";"Undecorated";""
"200";"MAR3_201";"";"-30";"Bo";"";"";"Ev";8;NA;NA;"34";"yes_s";"no_b";"Paint";"Bo"
"201";"MAR3_45";"Pit1";"-30";"Bo";"";"";"Ev";8;NA;NA;"34";"no_s";"no_b";"Incision";"Bo"
"202";"MAR3_75";"";"-50";"Bo";"";"";"Ev";6;NA;NA;"34";"yes_s";"no_b";"Undecorated";""
"203";"MAR3_64";"Pit1";"-40";"Bo";"";"";"Ev";16;NA;NA;"34";"yes_s";"no_b";"UR";"Bo"
"204";"MAR3_65";"Pit1";"-40";"Bo";"";"";"Ev";5;NA;NA;"34";"no_s";"no_b";"Twisted_cord_roulette";"Bo"
"205";"MAR3_207";"";"";"Bo";"";"";"Ev";6;NA;NA;"31";"yes_s";"no_b";"Paint";"Bo"
"206";"MAR3_117";"";"-90";"Bo";"";"";"Ev";7;NA;NA;"31";"no_s";"no_b";"Twisted_cord_roulette";"Bo"
"207";"MAR1_45";"";"-30";"Bo";"";"";"Ev";6;NA;NA;"33";"yes_s";"no_b";"Incision";"Bo"
"208";"MAR2_44";"";"-50";"LC";"R_RE_Reg";"L_Ev";"Ev";NA;NA;NA;"33";"yes_s";"no_b";"Undecorated";""
"209";"MAR1_29";"";"-30";"Bo";"";"";"Ev";8;NA;NA;"33";"yes_s";"no_b";"Mat";"Bo"
"210";"MAR3_36";"Pit1";"-30";"LU";"F_RE_Ireg";"";"S";9;"1";16;"34";"yes_s";"no_b";"Mat";"U"
"211";"MAR1_22";"";"-30";"Bo";"";"";"Ev";8;NA;NA;"31";"yes_s";"no_b";"Mat";"Bo"
"212";"MAR2_10";"";"-20";"LC";"R_RE_Reg";"L_Ev";"Ev";NA;NA;30;"31";"yes_s";"no_b";"Undecorated";""
"213";"MAR3_5";"Pit1";"-10";"LCUB";"R_RE_Reg";"Sh_Str";"Ev";8;"4";14;"34";"yes_s";"no_b";"Undecorated";""
"214";"MAR3_37";"Pit1";"-30";"LC";"R_ShEo_Ireg";"L_Ev";"Ev";NA;NA;NA;"32";"yes_s";"no_b";"Undecorated";""
"215";"MAR2_11";"";"-20";"LC";"F_RE_Reg";"L_Ev";"Ev";NA;NA;24;"34";"yes_s";"no_b";"Undecorated";""
"216";"MAR_212";"";"";"Bo";"";"";"Ev";NA;NA;NA;"42";"no_s";"no_b";"Various Impressions";"Bo"
"217";"MAR_213";"";"-10";"Bo";"";"";"Ev";NA;NA;NA;"32";"no_s";"no_b";"Mat";"Bo"
