"";"Nr";"Object";"N_Measurements";"purpose";"Special";"Commentary";"Site";"Region";"X"
"103";389;"MAR3_12";1;"pottery";"";"";"Marandet";"Marandet";NA
"104";390;"MAR3_12";2;"pottery";"";"";"Marandet";"Marandet";NA
"105";391;"MAR3_12";3;"pottery";"";"";"Marandet";"Marandet";NA
"106";392;"MAR1_24";1;"pottery";"";"";"Marandet";"Marandet";NA
"107";393;"MAR1_24";2;"pottery";"";"";"Marandet";"Marandet";NA
"108";394;"MAR1_24";3;"pottery";"";"";"Marandet";"Marandet";NA
"109";395;"MAR3_66";1;"pottery";"";"";"Marandet";"Marandet";NA
"110";396;"MAR3_66";2;"pottery";"";"";"Marandet";"Marandet";NA
"111";397;"MAR3_66";3;"pottery";"";"";"Marandet";"Marandet";NA
"112";398;"MAR1_8";1;"pottery";"";"";"Marandet";"Marandet";NA
"113";399;"MAR1_8";2;"pottery";"";"";"Marandet";"Marandet";NA
"114";400;"MAR1_8";3;"pottery";"";"";"Marandet";"Marandet";NA
"115";401;"MAR3_30";1;"pottery";"";"";"Marandet";"Marandet";NA
"116";402;"MAR3_30";2;"pottery";"";"";"Marandet";"Marandet";NA
"117";403;"MAR3_30";3;"pottery";"";"";"Marandet";"Marandet";NA
"118";404;"MAR1_12";1;"pottery";"";"";"Marandet";"Marandet";NA
"119";405;"MAR1_12";2;"pottery";"";"";"Marandet";"Marandet";NA
"120";406;"MAR1_12";3;"pottery";"";"";"Marandet";"Marandet";NA
"121";407;"MAR3_10";1;"pottery";"";"";"Marandet";"Marandet";NA
"122";408;"MAR3_10";2;"pottery";"";"";"Marandet";"Marandet";NA
"123";409;"MAR3_10";3;"pottery";"";"";"Marandet";"Marandet";NA
"124";410;"MAR3_88";1;"pottery";"";"";"Marandet";"Marandet";NA
"125";411;"MAR3_88";2;"pottery";"";"";"Marandet";"Marandet";NA
"126";412;"MAR3_88";3;"pottery";"";"";"Marandet";"Marandet";NA
"127";426;"MAR2_4";1;"pottery";"";"";"Marandet";"Marandet";NA
"128";427;"MAR2_4";2;"pottery";"";"";"Marandet";"Marandet";NA
"129";428;"MAR2_4";3;"pottery";"";"";"Marandet";"Marandet";NA
"130";429;"MAR_Ub";1;"pottery";"";"";"Marandet";"Marandet";NA
"131";430;"MAR_Ub";2;"pottery";"";"";"Marandet";"Marandet";NA
"132";431;"MAR_Ub";3;"pottery";"";"";"Marandet";"Marandet";NA
"133";432;"MAR3_2";1;"pottery";"";"";"Marandet";"Marandet";NA
"134";433;"MAR3_2";2;"pottery";"";"";"Marandet";"Marandet";NA
"135";434;"MAR3_2";3;"pottery";"";"";"Marandet";"Marandet";NA
"136";438;"MAR1_16";1;"pottery";"";"";"Marandet";"Marandet";NA
"137";439;"MAR1_16";2;"pottery";"";"";"Marandet";"Marandet";NA
"138";440;"MAR1_16";3;"pottery";"";"";"Marandet";"Marandet";NA
"139";441;"MAR3_11";1;"pottery";"";"";"Marandet";"Marandet";NA
"140";442;"MAR3_11";2;"pottery";"";"";"Marandet";"Marandet";NA
"141";443;"MAR3_11";3;"pottery";"";"";"Marandet";"Marandet";NA
"142";444;"MAR3_3";1;"pottery";"";"";"Marandet";"Marandet";NA
"143";445;"MAR3_3";2;"pottery";"";"";"Marandet";"Marandet";NA
"144";446;"MAR3_3";3;"pottery";"";"";"Marandet";"Marandet";NA
"145";447;"MAR3_112";1;"pottery";"";"";"Marandet";"Marandet";NA
"146";448;"MAR3_112";2;"pottery";"";"";"Marandet";"Marandet";NA
"147";449;"MAR3_112";3;"pottery";"";"";"Marandet";"Marandet";NA
"148";450;"MAR3_36";1;"pottery";"";"";"Marandet";"Marandet";NA
"149";451;"MAR3_36";2;"pottery";"";"";"Marandet";"Marandet";NA
"150";452;"MAR3_36";3;"pottery";"";"";"Marandet";"Marandet";NA
"151";453;"MAR3_97";1;"pottery";"";"";"Marandet";"Marandet";NA
"152";454;"MAR3_97";2;"pottery";"";"";"Marandet";"Marandet";NA
"153";455;"MAR3_97";3;"pottery";"";"";"Marandet";"Marandet";NA
"154";456;"MAR3_101";1;"pottery";"";"";"Marandet";"Marandet";NA
"155";457;"MAR3_101";2;"pottery";"";"";"Marandet";"Marandet";NA
"156";458;"MAR3_101";3;"pottery";"";"";"Marandet";"Marandet";NA
"157";470;"MAR3_64";1;"pottery";"";"";"Marandet";"Marandet";NA
"158";471;"MAR3_64";2;"pottery";"";"";"Marandet";"Marandet";NA
"159";472;"MAR3_64";3;"pottery";"";"";"Marandet";"Marandet";NA
"160";473;"MAR3_15";1;"pottery";"";"";"Marandet";"Marandet";NA
"161";474;"MAR3_15";2;"pottery";"";"";"Marandet";"Marandet";NA
"162";475;"MAR3_15";3;"pottery";"";"";"Marandet";"Marandet";NA
"163";476;"MAR3_86";1;"pottery";"";"";"Marandet";"Marandet";NA
"164";477;"MAR3_86";2;"pottery";"";"";"Marandet";"Marandet";NA
"165";478;"MAR3_86";3;"pottery";"";"";"Marandet";"Marandet";NA
"166";479;"MAR3_84";1;"pottery";"";"";"Marandet";"Marandet";NA
"167";480;"MAR3_84";2;"pottery";"";"";"Marandet";"Marandet";NA
"168";481;"MAR3_84";3;"pottery";"";"";"Marandet";"Marandet";NA
"169";485;"TIE_79";1;"pottery";"";"";"Tie";"Lake_Chad_East";NA
