Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Fundstelle;Schnitt Nummer;Art des Materials;Alloy1;Alloy2;HEAT;LOT;BATCH;Mo;Mo Error;Zr;Zr Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;Pb;Pb Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;Zn;Zn Error;W;W Error;Cu;Cu Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Ce;Ce Error;La;La Error;Ba;Ba Error;Cd;Cd Error;Ag;Ag Error;Bal;Bal Error;Nb;Nb Error;Y;Y Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Ca;Ca Error;K;K Error;Al;Al Error;P;P Error;Si;Si Error;Cl;Cl Error;S;S Error;Mg;Mg Error;Sb;Sb Error;Sn;Sn Error;Pd;Pd Error;Ru;Ru Error;Sc;Sc Error
45;19.09.2023 12:57;TestAll Geo;300,44;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;<LOD;791,51;<LOD;44,2;<LOD;300000;<LOD;359,18;<LOD;18310,16;556036,25;14175,74;97,59;55,97;29266,14;960,46;<LOD;471,7;<LOD;300000;132,76;27,74;<LOD;300000;99,18;37,25;508,19;75,48;343,42;62,06;494,71;106,4;557,59;119,21;531,09;101,92;316,01;80,93;675,41;123,74;<LOD;21,78;344,19;28,28;353658,5;18047,17;357,54;177,66;<LOD;227,31;<LOD;5392,24;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;66,72;44,11;10,43;<LOD;45,19;46342,81;1061,55;2247,36;171,48;;;;;;;;;;;;;;;;;;;;;;
46;19.09.2023 13:07;TestAll Geo;463,16;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;90,43;8,49;58,18;2,58;<LOD;300000;18,69;4,09;<LOD;543,37;1016;20,63;<LOD;4,22;654,09;24,64;<LOD;63,47;<LOD;300000;5573,47;56,4;<LOD;300000;228150,75;1133,32;85,5;22,27;<LOD;25,18;2063,96;42,42;<LOD;35,37;167,13;26,64;83,19;21,63;189,48;34,3;<LOD;8,94;101,6;6,5;717377,31;1322,78;<LOD;3,73;15,72;2,78;<LOD;136,25;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;19,09;17,16;3,18;393,19;11,47;39605,47;217,69;4019,93;76,82;;;;;;;;;;;;;;;;;;;;;;
47;19.09.2023 13:19;General Metals;600;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.01;No Match : *6.01;;;;0,005;0,001;0,047;0,002;;;;;;;;;0,542;0,011;<LOD;0,004;;;;;;;1,356;0,015;<LOD;0,032;58,64;0,122;0,015;0,007;<LOD;0,015;0,343;0,009;<LOD;0,021;;;;;;;<LOD;0,012;<LOD;0,066;;;0,002;0,001;;;0,01;0,003;;;;;;;<LOD;0,009;0,048;0,004;0,108;0,004;;;;;2,639;0,144;0,232;0,012;35,868;0,065;;;<LOD;0,002;<LOD;0,002;<LOD;0,014;0,095;0,006;<LOD;0,012;<LOD;0,004;;
48;19.09.2023 14:58;TestAll Geo;300,07;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;108,81;1,97;202,88;2,24;<LOD;3,49;158,15;2,31;4,95;0,51;28,78;2,48;<LOD;1,5;14,12;2,11;<LOD;21,84;0,43;0,11;157,68;5,73;<LOD;25,04;32,51;6,22;131,12;11,83;<LOD;68,77;43112,2;149,09;604,63;28,53;266,81;18,4;167,09;15,09;693,62;25,11;<LOD;5,4;<LOD;3,08;889353,13;445,1;17,16;1,27;25,05;1,48;<LOD;37,56;<LOD;1,5;<LOD;1,5;<LOD;1,5;214,84;19,14;137,58;7,07;4549,87;44,05;26366,37;173,26;30648,33;229,16;;;;;;;;;;;;;;;;;;;;;;
49;19.09.2023 15:20;General Metals;300,01;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.67;No Match : *6.75;;;;<LOD;0,004;0,056;0,002;;;;;;;;;0,472;0,017;<LOD;0,011;;;;;;;<LOD;0,037;<LOD;0,065;23,6;0,087;0,101;0,023;<LOD;0,045;0,633;0,037;<LOD;0,085;;;;;;;<LOD;0,029;53,196;0,163;;;<LOD;0,003;;;0,704;0,016;;;;;;;0,139;0,012;0,093;0,011;0,221;0,012;;;;;2,554;0,158;0,033;0,01;18,151;0,076;;;<LOD;0,002;<LOD;0,002;<LOD;0,063;<LOD;0,109;0,032;0,012;<LOD;0,006;;
50;19.09.2023 15:27;General Metals;364,99;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *6.90;No Match : *6.90;;;;<LOD;0,003;0,018;0,002;;;;;;;;;0,47;0,015;<LOD;0,01;;;;;;;<LOD;0,03;0,179;0,03;15,397;0,066;0,093;0,02;<LOD;0,042;0,621;0,035;<LOD;0,081;;;;;;;<LOD;0,026;61,739;0,15;;;<LOD;0,003;;;0,765;0,014;;;;;;;0,144;0,01;0,098;0,009;0,254;0,011;;;;;3,314;0,126;0,063;0,007;16,815;0,062;;;<LOD;0,002;<LOD;0,002;<LOD;0,062;<LOD;0,105;<LOD;0,021;<LOD;0,005;;
51;19.09.2023 15:33;General Metals;290,22;%;Final;;;;;;;Juan-Marco Puerta Schardt;;;;No Match : *5.90;No Match : *6.51;;;;<LOD;0,002;0,021;0,002;;;;;;;;;0,363;0,012;<LOD;0,007;;;;;;;<LOD;0,025;<LOD;0,043;21,757;0,074;<LOD;0,036;<LOD;0,026;0,369;0,03;<LOD;0,052;;;;;;;<LOD;0,026;53,082;0,134;;;<LOD;0,002;;;0,524;0,013;;;;;;;0,159;0,01;0,091;0,009;0,147;0,009;;;;;2,562;0,118;<LOD;0,014;20,889;0,067;;;<LOD;0,002;<LOD;0,002;<LOD;0,058;<LOD;0,1;<LOD;0,022;<LOD;0,004;;
52;19.09.2023 15:39;TestAll Geo;300,89;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;<LOD;126,1;<LOD;8,26;<LOD;300000;4092,01;135,75;73784,94;3747,46;1985,16;81,68;<LOD;30,5;862,72;75,84;1024,34;153,14;<LOD;300000;224,26;63,29;<LOD;300000;117565,55;3291,07;<LOD;128,75;<LOD;105,01;2233,43;157,31;<LOD;187,9;233,2;145,54;<LOD;173,91;366,94;189,96;<LOD;82,78;411458,91;14198,45;364269,69;21878,94;<LOD;90,45;<LOD;45,03;<LOD;3103,94;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;44,78;69,79;7,53;641,15;28,73;14330,2;406,23;9253;181,32;;;;;;;;;;;;;;;;;;;;;;
53;19.09.2023 15:46;TestAll Geo;302,73;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;<LOD;237,04;40,17;7,51;<LOD;300000;5081,21;175,99;154774,8;6863,6;1676,69;68,68;<LOD;41,07;1849,57;110,94;1270,17;125,91;<LOD;300000;190,92;41,38;<LOD;300000;53469,65;1634,9;266,28;75,03;<LOD;86,52;3355,79;171,25;<LOD;158,3;<LOD;183,22;<LOD;155,97;266,14;167,09;<LOD;81,91;373685,03;12887,02;353753,25;22345;<LOD;86,91;<LOD;42,3;<LOD;2855,81;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;44,8;58,93;7,62;1091,89;42,84;40311,55;1164,75;9533,61;220,79;;;;;;;;;;;;;;;;;;;;;;
54;19.09.2023 15:53;TestAll Geo;302,52;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;<LOD;1,5;<LOD;104,07;387,32;13,1;<LOD;300000;4138,1;104,62;82630,53;3091,21;1158,65;42,94;<LOD;21,93;987,85;56,34;631,55;93,15;<LOD;300000;143,14;34,09;<LOD;300000;41117,86;935,74;622,95;71,16;<LOD;76,28;2117,71;122,07;<LOD;144,83;223,66;94,3;116,08;75,85;248,64;119,73;<LOD;55,86;250789,28;6596,06;470556,91;13588,17;<LOD;104,06;<LOD;45,04;<LOD;3108,59;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;35,76;25,27;5,75;880,07;29,62;98399,79;1990,49;10082,27;183,54;;;;;;;;;;;;;;;;;;;;;;
