Reading No;Time;Type;Duration;Units;Sequence;Alloy1;Alloy2;Flags;SAMPLE;HEAT;LOT;BATCH;MISC;NOTE;Res;EScale;Shape Time;User Login;LOCATION;INSPECTOR;Fundstelle;Schnitt Nummer;Art des Materials;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Pd;Pd Error;Ag;Ag Error;Ru;Ru Error;Mo;Mo Error;Nb;Nb Error;Zr;Zr Error;Bi;Bi Error;Se;Se Error;W;W Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Al;Al Error;LEC;LEC Error;Pb;Pb Error;Zn;Zn Error;Cu;Cu Error;S;S Error;P;P Error;Si;Si Error;Mg;Mg Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;As;As Error;Hg;Hg Error;Au;Au Error;Bal;Bal Error;Y;Y Error;Ce;Ce Error;La;La Error;Ba;Ba Error;Ca;Ca Error;K;K Error;Cl;Cl Error;Sc;Sc Error;Cs;Cs Error;Te;Te Error
69;21.09.2023 10:17;TestAll Geo;300,73;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,41;;;<LOD;3,08;;;<LOD;1,5;15,7;1,27;105,17;1,96;<LOD;38,21;<LOD;1,5;<LOD;25,23;<LOD;1,5;<LOD;1,5;<LOD;1,5;114,29;11,71;<LOD;69,1;43054,98;149,39;643,19;29,04;237,57;18,88;135,26;7,04;4602,94;44,41;;;;;27,2;2,45;152,67;5,69;28,19;6,16;;;;;;;;;203,13;2,25;<LOD;3,47;157,26;2,32;5,43;0,52;12,5;2,07;<LOD;21,65;0,42;0,11;890366,69;444,96;25,4;1,49;264,78;18,55;166,12;15,22;711,66;25,42;25474,69;170,78;30635,36;230,01;;;;;;;;
70;21.09.2023 10:22;TestAll Geo;301,27;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,41;;;<LOD;3,09;;;<LOD;1,5;16,27;1,28;109,43;1,97;<LOD;37,97;<LOD;1,5;<LOD;24,82;<LOD;1,5;<LOD;1,5;<LOD;1,5;116,95;11,71;<LOD;68,98;43145,66;148,85;655,53;29,12;226,24;19,01;132,82;7,02;4558,76;44,07;;;;;26,95;2,44;151,65;5,64;33,13;6,21;;;;;;;;;203;2,24;<LOD;3,48;158,34;2,31;5,04;0,51;14,38;2,09;<LOD;21,62;0,35;0,11;890374;444,43;24,47;1,48;269,62;18,5;157,72;15,07;713,94;25,3;25394,66;169,93;30587,32;229,13;;;;;;;;
71;21.09.2023 10:28;TestAll Geo;300,84;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,38;;;<LOD;3,09;;;<LOD;1,5;16,55;1,28;106,73;1,95;<LOD;38,22;<LOD;1,5;<LOD;24,97;<LOD;1,5;<LOD;1,5;<LOD;1,5;125,8;11,72;<LOD;68,37;43041,15;148,15;594,06;28,17;229,95;19,22;130,55;7,1;4600,75;44,75;;;;;26,6;2,43;149,73;5,6;32,52;6,18;;;;;;;;;201,28;2,22;<LOD;3,5;159,05;2,31;5,56;0,52;12,44;2,05;<LOD;21,38;0,33;0,11;890251,44;445,71;24,36;1,48;286,84;18,69;171,88;15,22;722,62;25,38;25478,46;171,83;30613,91;231,53;;;;;;;;
72;21.09.2023 10:33;TestAll Geo;300,61;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,39;;;<LOD;3,08;;;<LOD;1,5;17;1,27;108,29;1,97;<LOD;37,5;<LOD;1,5;<LOD;24,89;<LOD;1,5;<LOD;1,5;<LOD;1,5;120,97;11,76;<LOD;69,09;43247,23;149,14;630,18;28,8;221,23;19,24;135,8;7,13;4581,62;44,65;;;;;27,7;2,45;152,11;5,65;26,16;6,11;;;;;;;;;201,83;2,23;<LOD;3,48;158,75;2,31;4,79;0,5;13,01;2,08;<LOD;21,69;0,37;0,11;889645;446,73;24,91;1,48;277,19;18,58;164,64;15,14;716,86;25,34;25643,38;172,39;30930,48;232,54;;;;;;;;
73;21.09.2023 10:38;TestAll Geo;300,48;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,32;;;<LOD;3,04;;;<LOD;1,5;15,65;1,27;105,21;1,96;<LOD;38,6;<LOD;1,5;<LOD;24,89;<LOD;1,5;<LOD;1,5;<LOD;1,5;117,17;11,7;<LOD;68,91;43134,48;149,06;624,74;28,76;210,55;19,54;132,61;7,15;4558,22;44,62;;;;;26,43;2,43;152,31;5,66;34,07;6,23;;;;;;;;;202,28;2,24;<LOD;3,51;160,14;2,33;5,61;0,52;13,78;2,08;<LOD;21,67;0,41;0,11;890123,06;446,23;25,46;1,49;273,8;18,46;166,8;15,09;715,29;25,21;25483,98;172,19;30610,09;231,92;;;;;;;;
74;21.09.2023 10:44;TestAll Geo;301,24;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,38;;;<LOD;3,07;;;<LOD;1,5;16,09;1,27;106,67;1,96;<LOD;38,03;<LOD;1,5;<LOD;24,47;<LOD;1,5;<LOD;1,5;<LOD;1,5;122;11,69;<LOD;68,62;43136,08;148,61;630,11;28,69;228,93;19,36;130,39;7,13;4557,93;44,83;;;;;28,07;2,46;149,7;5,6;31,45;6,17;;;;;;;;;202,85;2,23;<LOD;3,5;157,73;2,3;4,92;0,5;12,79;2,08;<LOD;21,79;0,42;0,11;889846,5;448,59;25,11;1,49;261,58;18,45;157,59;15,09;691,77;25,25;25750,93;173,71;30702,48;233,16;;;;;;;;
75;21.09.2023 10:49;TestAll Geo;300,27;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,35;;;<LOD;3,04;;;<LOD;1,5;17,55;1,28;105,93;1,96;<LOD;37,56;<LOD;1,5;<LOD;25,05;<LOD;1,5;<LOD;1,5;<LOD;1,5;122,68;11,76;<LOD;69,05;43180,13;149,05;618,4;28,67;242,27;19,28;147,17;7,25;4541,12;44,86;;;;;27,82;2,46;153,71;5,68;35,72;6,26;;;;;;;;;202,3;2,24;<LOD;3,52;158,23;2,31;5,06;0,51;11,7;2,06;<LOD;21,72;0,29;0,1;889648,13;448,62;24,17;1,47;276,53;18,47;160,88;15,02;715,48;25,19;25800,64;174,43;30958,74;234,76;;;;;;;;
76;21.09.2023 10:55;TestAll Geo;300,93;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,35;;;<LOD;3,06;;;<LOD;1,5;16,47;1,28;107,41;1,95;<LOD;38,97;<LOD;1,5;<LOD;24,54;<LOD;1,5;<LOD;1,5;<LOD;1,5;119,63;11,62;<LOD;68,43;43189,19;148,27;593,18;28,27;229,76;19,16;133,38;7,09;4579,97;44,58;;;;;26,25;2,42;151,28;5,61;39,61;6,27;;;;;;;;;201,03;2,22;<LOD;3,45;156,21;2,3;5,93;0,52;11,65;2,03;<LOD;21,24;0,4;0,11;889704,13;447,97;25,67;1,49;268,02;18,47;170,61;15,17;707,32;25,25;25601,58;172,08;30862,85;232,1;;;;;;;;
77;21.09.2023 11:00;TestAll Geo;301,2;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,31;;;<LOD;3,05;;;<LOD;1,5;16,35;1,26;108,73;1,96;<LOD;37,36;<LOD;1,5;<LOD;24,81;<LOD;1,5;<LOD;1,5;<LOD;1,5;123,07;11,69;<LOD;68,59;43226,01;148,65;594,33;28,29;235,27;19,16;131,49;7,06;4559,8;44,39;;;;;25,56;2,41;153,53;5,65;27,14;6,1;;;;;;;;;201,2;2,22;<LOD;3,47;156,93;2,3;5,22;0,51;13,94;2,06;<LOD;22,11;0,35;0,11;890053,5;444,05;23,84;1,46;252,46;18,34;151,82;15,01;716,73;25,31;25636,46;171,83;30718,01;231,07;;;;;;;;
78;21.09.2023 11:05;TestAll Geo;300,83;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,31;;;<LOD;3,07;;;<LOD;1,5;16,67;1,27;108;1,96;<LOD;37,87;<LOD;1,5;<LOD;24,61;<LOD;1,5;<LOD;1,5;<LOD;1,5;120,81;11,66;<LOD;68,52;43087,03;148,46;650,96;28,94;218,8;19,23;141,02;7,17;4549,34;44,56;;;;;26,02;2,42;148,4;5,58;29,31;6,13;;;;;;;;;202,75;2,23;<LOD;3,51;159,23;2,31;5,3;0,51;13,66;2,06;<LOD;21,94;0,33;0,11;889958,63;445,31;24,1;1,47;269,92;18,37;159,57;14,97;718,44;25,14;25661,18;172,7;30813,46;232,53;;;;;;;;
79;21.09.2023 11:11;TestAll Geo;300,08;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,36;;;<LOD;3,03;;;<LOD;1,5;16,74;1,27;107,97;1,97;<LOD;37,69;<LOD;1,5;<LOD;24,74;<LOD;1,5;<LOD;1,5;<LOD;1,5;119,32;11,72;<LOD;69,06;43332,38;149,41;632,4;28,86;226,39;19,5;134,24;7,19;4568,14;44,97;;;;;30,01;2,5;156,58;5,71;30,47;6,18;;;;;;;;;202,4;2,24;<LOD;3,51;159,07;2,32;4,91;0,51;11,33;2,09;<LOD;21,51;0,42;0,11;889803,75;447,88;23,59;1,47;254,69;18,39;164,99;15,15;726,92;25,39;25595,89;173,61;30921,98;234,47;;;;;;;;
80;21.09.2023 11:16;TestAll Geo;301,15;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,3;;;<LOD;3,09;;;<LOD;1,5;16,11;1,27;107,93;1,95;<LOD;37,65;<LOD;1,5;<LOD;25,02;<LOD;1,5;<LOD;1,5;<LOD;1,5;115,99;11,57;<LOD;68,35;43193,39;148,23;644,4;28,84;234,79;19,12;134,88;7,13;4588,66;44,82;;;;;26,01;2,42;154,63;5,66;32,31;6,16;;;;;;;;;200,34;2,21;<LOD;3,51;159,71;2,31;5,12;0,51;13,09;2,05;<LOD;21,68;0,31;0,11;889672,56;447,96;24,11;1,48;268,83;18,33;170,58;15,05;715,49;25,09;25615,61;172,71;30937,93;233,24;;;;;;;;
81;21.09.2023 11:46;TestAll Geo;304,67;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;28,7;;;<LOD;20,15;;;<LOD;1,5;<LOD;12,45;<LOD;15,95;<LOD;44,49;<LOD;48,84;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;805,88;35,07;373,23;29,47;1654,22;75,71;1298,16;49,17;<LOD;60,41;30,05;9,6;220,71;31,32;;;;;53,9;20,77;249,46;13,26;205,13;16,31;<LOD;1,5;;;;;;;<LOD;13,31;<LOD;300000;80,48;7,4;1836,65;114,92;607825,38;11439,66;<LOD;526,58;<LOD;300000;373595,97;11678,84;<LOD;12,7;561,55;99,84;405,18;82,11;607,39;121,92;3229,83;70,33;942,75;79,31;;;5,02;1,49;;;;
82;21.09.2023 11:56;TestAll Geo;327,29;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;16,18;;;592,57;21,71;;;<LOD;1,5;<LOD;9,24;<LOD;38,94;<LOD;507,05;<LOD;14,5;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;57,08;<LOD;46,45;6039,17;87,45;<LOD;48,23;<LOD;31,17;49,19;6,4;1699,65;34,44;;;;;2565,92;73,43;46233,62;476,61;481049,72;4491,28;<LOD;1,5;;;;;;;26,23;4,49;<LOD;300000;<LOD;19,03;<LOD;1750,28;624,32;69,82;<LOD;164,65;<LOD;300000;451775,56;5022,55;51,86;9,97;317,51;49,7;204;40,56;392,55;62,36;4204,19;69,15;1983,95;82,52;;;2,14;1,39;;;;
83;21.09.2023 12:03;General Metals;300,71;%;Final;No Match : *6.51;No Match : *6.51;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,007;0,161;0,005;<LOD;0,006;<LOD;0,006;<LOD;0,093;<LOD;0,002;<LOD;0,002;<LOD;0,002;0,003;0,001;<LOD;0,004;<LOD;0,002;<LOD;0,038;;;;;;;<LOD;0,009;<LOD;0,007;0,654;0,01;<LOD;0,008;<LOD;0,006;0,038;0,003;0,24;0,005;15,093;0,105;;;0,35;0,008;4,99;0,023;55,211;0,087;<LOD;0,002;1,923;0,01;21,272;0,042;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
84;21.09.2023 12:24;General Metals;346,37;%;Final;No Match : *6.90;No Match : *6.90;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,011;0,133;0,006;<LOD;0,009;<LOD;0,009;<LOD;0,068;<LOD;0,003;<LOD;0,002;<LOD;0,002;0,013;0,001;<LOD;0,008;<LOD;0,004;<LOD;0,066;;;;;;;0,019;0,006;<LOD;0,009;0,905;0,014;<LOD;0,011;<LOD;0,009;0,066;0,005;0,316;0,007;11,089;0,145;;;0,872;0,016;9,674;0,039;58,179;0,118;<LOD;0,002;1,976;0,014;16,699;0,051;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85;21.09.2023 12:41;General Metals;300,19;%;Final;No Match : *6.90;No Match : *6.90;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,011;0,217;0,007;<LOD;0,009;<LOD;0,009;<LOD;0,136;<LOD;0,003;<LOD;0,002;<LOD;0,002;0,037;0,002;<LOD;0,008;<LOD;0,004;<LOD;0,064;;;;;;;<LOD;0,013;<LOD;0,01;0,866;0,015;0,013;0,006;<LOD;0,009;0,055;0,005;0,332;0,008;10,726;0,156;;;0,638;0,015;7,331;0,036;56,439;0,126;<LOD;0,002;1,772;0,015;21,471;0,061;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86;21.09.2023 13:02;General Metals;300,2;%;Final;No Match : *6.31;No Match : *6.90;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,021;0,006;<LOD;0,01;<LOD;0,009;<LOD;0,009;<LOD;0,087;<LOD;0,003;<LOD;0,002;<LOD;0,002;0,004;0,001;0,048;0,007;0,007;0,003;<LOD;0,039;;;;;;;0,018;0,009;<LOD;0,034;2,087;0,022;<LOD;0,028;<LOD;0,012;0,052;0,005;0,201;0,006;7,377;0,179;;;0,994;0,021;1,956;0,024;74,688;0,165;<LOD;0,002;1,569;0,015;10,909;0,054;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;21.09.2023 13:08;General Metals;300,4;%;Final;No Match : *6.31;No Match : *7.05;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,035;0,005;<LOD;0,008;<LOD;0,007;<LOD;0,007;<LOD;0,102;<LOD;0,002;<LOD;0,002;<LOD;0,002;0,004;0,001;0,085;0,007;0,009;0,003;<LOD;0,031;;;;;;;<LOD;0,017;<LOD;0,028;1,881;0,018;<LOD;0,023;<LOD;0,009;0,047;0,004;0,197;0,005;8,354;0,137;;;1,288;0,02;2,181;0,021;73,038;0,126;<LOD;0,002;1,264;0,011;11,536;0,044;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
88;21.09.2023 13:14;General Metals;300,73;%;Final;No Match : *6.31;No Match : *7.01;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,027;0,004;<LOD;0,008;<LOD;0,007;<LOD;0,007;<LOD;0,099;<LOD;0,002;<LOD;0,002;<LOD;0,002;<LOD;0,002;0,068;0,006;<LOD;0,005;<LOD;0,028;;;;;;;0,016;0,008;<LOD;0,027;1,992;0,018;<LOD;0,022;<LOD;0,008;0,053;0,003;0,193;0,005;8,912;0,128;;;1,113;0,017;1,881;0,019;72,44;0,118;<LOD;0,002;1,481;0,011;11,751;0,041;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89;21.09.2023 13:20;General Metals;240,77;%;Final;No Match : *4.34;No Match : *4.34;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,09;0,012;<LOD;0,017;<LOD;0,01;<LOD;0,011;<LOD;0,056;<LOD;0,006;<LOD;0,005;<LOD;0,004;<LOD;0,014;0,166;0,042;<LOD;0,026;<LOD;0,058;;;;;;;<LOD;0,048;<LOD;0,039;<LOD;0,078;<LOD;0,08;<LOD;0,022;0,109;0,009;<LOD;0,017;<LOD;0,422;;;93,841;0,232;<LOD;0,02;<LOD;0,025;<LOD;0,002;1,064;0,017;4,389;0,052;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
90;21.09.2023 13:28;TestAll Geo;300,51;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;34,94;;;736,87;44,34;;;<LOD;1,5;<LOD;37,86;<LOD;135,38;<LOD;1768,58;<LOD;41,95;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;273,46;61,7;<LOD;77,75;18662,94;383,63;<LOD;59,77;<LOD;52;70,59;9,17;908,37;34,29;;;;;8030,32;252,96;18888,22;326,27;682116,31;9768,34;;;;;;;;;11,44;6,64;<LOD;300000;72,94;43,53;<LOD;6014,67;8784,69;309,24;<LOD;332,06;<LOD;300000;242683,36;12292,41;<LOD;34,52;442,98;103,43;266,02;83,23;431,41;126,03;3924,8;112,16;4211,25;173,52;;;;;;;;
91;21.09.2023 13:40;General Metals;40,12;%;Final;No Match : *6.90;No Match : *6.90;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,036;0,012;<LOD;0,019;<LOD;0,018;<LOD;0,017;<LOD;0,03;<LOD;0,006;<LOD;0,004;<LOD;0,002;0,02;0,003;<LOD;0,037;<LOD;0,013;<LOD;0,069;;;;;;;<LOD;0,039;<LOD;0,062;1,496;0,048;<LOD;0,056;<LOD;0,025;0,043;0,011;0,456;0,021;13,024;0,377;;;3,699;0,08;3,311;0,062;54,272;0,305;<LOD;0,002;0,393;0,021;23,206;0,157;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
92;21.09.2023 13:47;General Metals;40,85;%;Final;No Match : *6.90;No Match : *6.90;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,027;0,012;<LOD;0,019;<LOD;0,017;<LOD;0,017;<LOD;0,019;<LOD;0,005;<LOD;0,003;<LOD;0,002;0,013;0,003;<LOD;0,039;<LOD;0,015;<LOD;0,068;;;;;;;<LOD;0,04;<LOD;0,06;1,265;0,044;<LOD;0,058;<LOD;0,023;0,05;0,011;0,387;0,019;12,781;0,333;;;3,813;0,081;3,73;0,065;55,732;0,276;<LOD;0,002;0,38;0,018;21,788;0,139;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
93;21.09.2023 14:04;General Metals;600;%;Final;No Match : *6.90;No Match : *6.90;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,04;0,003;0,009;0,003;<LOD;0,005;<LOD;0,005;<LOD;0,019;<LOD;0,002;<LOD;0,002;<LOD;0,002;0,01;0,001;<LOD;0,011;<LOD;0,004;<LOD;0,023;;;;;;;0,02;0,005;<LOD;0,015;0,874;0,01;<LOD;0,016;<LOD;0,006;0,049;0,003;0,279;0,004;9,649;0,091;;;4,056;0,023;3,531;0,017;63,148;0,079;<LOD;0,002;0,709;0,006;17,602;0,035;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
94;21.09.2023 14:15;General Metals;41;%;Final;1.7357 : 0.62;No Match : *1.88;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,016;<LOD;0,014;<LOD;0,013;<LOD;0,012;<LOD;0,015;<LOD;0,005;0,476;0,01;<LOD;0,003;<LOD;0,002;<LOD;0,002;<LOD;0,007;<LOD;0,044;;;;;;;0,085;0,033;<LOD;0,193;96,96;0,241;0,54;0,044;1,131;0,02;<LOD;0,013;<LOD;0,013;<LOD;0,424;;;<LOD;0,003;<LOD;0,019;<LOD;0,034;<LOD;0,029;<LOD;0,018;0,459;0,044;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
95;21.09.2023 14:29;General Metals;40,77;%;Final;1.7335 : 0.00;No Match : 0.50;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,016;<LOD;0,014;<LOD;0,013;<LOD;0,013;<LOD;0,025;<LOD;0,005;0,475;0,01;<LOD;0,003;<LOD;0,002;<LOD;0,002;<LOD;0,006;<LOD;0,049;;;;;;;0,086;0,034;<LOD;0,195;97,455;0,24;0,536;0,044;1,116;0,021;<LOD;0,014;<LOD;0,014;<LOD;0,421;;;<LOD;0,004;<LOD;0,017;<LOD;0,035;<LOD;0,029;<LOD;0,019;0,241;0,041;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;21.09.2023 15:40;TestAll Geo;330,04;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;62,12;6,83;<LOD;0,76;<LOD;7,06;40,25;5,94;<LOD;4,12;;;<LOD;1,5;17,68;1,63;108;2,78;<LOD;47,25;<LOD;2;<LOD;35,63;<LOD;1,5;<LOD;1,5;<LOD;1,5;133,46;16,78;<LOD;100,23;42138,37;208,71;592,99;40,16;208,33;11,65;140,32;7,39;4583,88;48,31;136440,09;1594,18;;;30,62;3,56;138,03;7,75;29,16;8,74;580,13;114,27;1189,7;73,65;167417,56;897,7;<LOD;1714,95;193,22;3,1;<LOD;4,96;157,81;3,27;4,84;0,72;12,76;3;<LOD;31,91;0,33;0,15;579028,75;2833,92;24,1;1,88;275,78;23,52;182,38;19,4;655,42;25,58;20003,37;132,71;28644,84;211,23;6592,73;60,43;22,69;2,65;32,95;8,86;477,11;16,93
97;21.09.2023 16:11;General Metals;40,88;%;Final;No Match : *6.51;No Match : *6.84;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,022;<LOD;0,02;<LOD;0,018;<LOD;0,018;<LOD;0,02;<LOD;0,006;<LOD;0,004;<LOD;0,002;0,022;0,003;<LOD;0,022;<LOD;0,011;<LOD;0,087;;;;;;;<LOD;0,041;<LOD;0,069;1,721;0,049;<LOD;0,056;<LOD;0,024;0,054;0,011;0,272;0,017;11,273;0,37;;;0,841;0,041;4,983;0,075;56,781;0,307;<LOD;0,002;1,359;0,032;22,66;0,152;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;21.09.2023 16:12;General Metals;40,94;%;Final;No Match : *6.51;No Match : *6.90;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,019;<LOD;0,016;<LOD;0,015;<LOD;0,015;<LOD;0,017;<LOD;0,005;<LOD;0,003;<LOD;0,002;0,011;0,002;<LOD;0,018;<LOD;0,01;<LOD;0,07;;;;;;;<LOD;0,031;<LOD;0,064;1,911;0,046;<LOD;0,056;<LOD;0,023;0,05;0,011;0,286;0,017;12,155;0,334;;;0,912;0,038;4,423;0,064;55,714;0,279;<LOD;0,002;1,051;0,025;23,407;0,139;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;21.09.2023 16:26;General Metals;40,98;%;Final;No Match : *6.51;No Match : *6.90;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;<LOD;0,02;<LOD;0,018;<LOD;0,017;<LOD;0,017;<LOD;0,019;<LOD;0,005;<LOD;0,003;<LOD;0,002;0,012;0,003;<LOD;0,021;<LOD;0,011;<LOD;0,077;;;;;;;<LOD;0,039;<LOD;0,068;1,886;0,049;<LOD;0,056;<LOD;0,024;0,059;0,011;0,274;0,017;11,786;0,343;;;0,901;0,04;4,45;0,068;55,652;0,284;<LOD;0,002;1,088;0,027;23,844;0,146;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;21.09.2023 16:34;TestAll Geo;330,64;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;146,73;29,02;16,58;2,48;<LOD;22,45;99,35;27,28;25,22;11,48;;;<LOD;1,5;<LOD;22,44;116,18;63,03;<LOD;1065,53;<LOD;30,19;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;135,52;62,61;<LOD;102,16;18582,96;259,43;<LOD;78,46;<LOD;42,08;83,47;8,69;990,88;36,38;195576,23;2547,64;;;6404,07;154,4;41450,61;358,31;494660,66;2995,64;1436,46;113,11;20343,7;549,49;178326,69;1765,92;<LOD;5823,13;50,84;8,01;<LOD;300000;<LOD;45,32;<LOD;4242,08;4332,22;182,05;<LOD;251,15;<LOD;300000;<LOD;1,5;26,25;16,92;353,28;69,38;270,28;57,7;432,86;85,37;6030,22;74,75;1489,36;70,89;4135,79;67,09;<LOD;2,23;133,93;36,01;519,36;66,46
101;21.09.2023 16:53;TestAll Geo;600;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;1315,27;65,81;78,05;5,5;<LOD;21,45;220,21;48,55;1005,78;34,93;;;<LOD;1,5;<LOD;32,38;<LOD;135,41;<LOD;1537,83;<LOD;38,81;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;106,76;53,25;<LOD;58,1;7850,35;163,61;<LOD;58,49;187,59;5,16;42,9;4,68;337,17;15,47;129638,18;2569,71;;;7493,93;163,1;20445,95;203,77;661895,19;3965,73;1906,74;75,36;22558,21;624,1;86572,34;1250,34;<LOD;6476,95;17,78;6,17;<LOD;300000;76,23;43,07;<LOD;6016,36;12130,59;269,77;<LOD;268,76;<LOD;300000;<LOD;1,5;<LOD;28,65;318,67;67,09;223,36;55,39;391,2;84,3;2104,47;27,92;842,54;37,83;7354,21;116,12;2,48;0,58;755,59;60,4;1255,49;110,83
102;21.09.2023 16:55;General Metals;40,28;%;Final;No Match : *5.52;No Match : *6.67;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,051;0,014;0,028;0,013;<LOD;0,02;<LOD;0,02;<LOD;0,157;<LOD;0,006;<LOD;0,003;<LOD;0,002;<LOD;0,004;0,065;0,018;<LOD;0,016;<LOD;0,071;;;;;;;<LOD;0,047;<LOD;0,062;0,82;0,036;<LOD;0,066;<LOD;0,033;0,052;0,013;0,179;0,017;8,199;0,406;;;1,029;0,05;2,178;0,059;74,135;0,378;<LOD;0,002;1,145;0,032;11,957;0,13;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;21.09.2023 16:57;General Metals;41,11;%;Final;No Match : *6.21;No Match : *6.67;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;0,051;0,016;<LOD;0,027;<LOD;0,023;<LOD;0,022;<LOD;0,141;<LOD;0,007;<LOD;0,004;<LOD;0,002;<LOD;0,005;0,081;0,021;<LOD;0,018;<LOD;0,074;;;;;;;<LOD;0,044;<LOD;0,068;0,815;0,04;<LOD;0,076;<LOD;0,035;0,057;0,014;0,177;0,018;8,608;0,458;;;1,121;0,057;2,058;0,063;72,421;0,422;<LOD;0,002;1,15;0,036;13,274;0,148;<LOD;0,002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
