Reading No;Time;Type;Duration;Units;Sequence;Alloy1;Alloy2;Flags;SAMPLE;HEAT;LOT;BATCH;MISC;NOTE;Res;EScale;Shape Time;User Login;LOCATION;INSPECTOR;Fundstelle;Schnitt Nummer;Art des Materials;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Pd;Pd Error;Ag;Ag Error;Ru;Ru Error;Mo;Mo Error;Nb;Nb Error;Zr;Zr Error;Bi;Bi Error;Se;Se Error;W;W Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Ni;Ni Error;Co;Co Error;Fe;Fe Error;Mn;Mn Error;Cr;Cr Error;V;V Error;Ti;Ti Error;Al;Al Error;LEC;LEC Error;Pb;Pb Error;Zn;Zn Error;Cu;Cu Error;S;S Error;P;P Error;Si;Si Error;Mg;Mg Error;Sr;Sr Error;U;U Error;Rb;Rb Error;Th;Th Error;As;As Error;Hg;Hg Error;Au;Au Error;Bal;Bal Error;Y;Y Error;Ce;Ce Error;La;La Error;Ba;Ba Error;Ca;Ca Error;K;K Error;Cl;Cl Error;Sc;Sc Error;Cs;Cs Error;Te;Te Error
24;19.09.2023 10:07;TestAll Geo;2,13;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;20298,65;;;<LOD;16618,99;;;<LOD;1,5;<LOD;2359,8;<LOD;3426,16;<LOD;67,97;<LOD;3375,8;<LOD;300000;<LOD;1,5;<LOD;1,5;<LOD;1,5;<LOD;21941,55;<LOD;9070,97;<LOD;21915,43;<LOD;565,54;<LOD;1377,14;<LOD;1924,01;<LOD;38240,05;;;;;<LOD;1551,48;<LOD;9666,53;<LOD;10837,98;;;;;;;;;<LOD;436,66;<LOD;300000;<LOD;63,43;<LOD;900,25;<LOD;357,16;<LOD;129367,27;<LOD;300000;<LOD;1,5;<LOD;2357,35;;;;;;;;;;;;;;;;;;
25;19.09.2023 10:15;TestAll Geo;301,1;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,41;;;<LOD;3,09;;;<LOD;1,5;17,08;1,28;108,37;1,96;<LOD;38,05;<LOD;1,5;<LOD;25,17;<LOD;1,5;<LOD;1,5;<LOD;1,5;116,94;11,64;<LOD;68,54;43279,19;148,5;610,01;28,46;229,86;19,01;131,06;7,04;4611,76;44,48;;;;;28,98;2,47;155,49;5,68;34,84;6,23;;;;;;;;;203,89;2,23;<LOD;3,46;159,62;2,31;5,26;0,51;12,31;2,08;<LOD;21,99;0,47;0,11;888515,56;449,85;25,25;1,49;259,19;18,66;167,99;15,37;709,32;25,62;26249,19;173,32;31189,4;231,75;;;;;;;;
26;19.09.2023 10:20;TestAll Geo;301,1;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,38;;;<LOD;3,09;;;<LOD;1,5;16,13;1,28;107,32;1,97;<LOD;38,65;<LOD;1,5;<LOD;25,15;<LOD;1,5;<LOD;1,5;<LOD;1,5;108,22;11,67;<LOD;69,38;43379,96;149,61;654,08;29,16;219,18;19,43;127,72;7,13;4611,14;45,04;;;;;27,97;2,47;152,81;5,68;32,36;6,22;;;;;;;;;201,9;2,24;<LOD;3,54;161,76;2,34;5,39;0,52;11,88;2,07;<LOD;22,01;0,35;0,11;888416,5;454,04;23,76;1,49;282,23;18,67;172,14;15,24;708,63;25,36;26189,42;175,22;31371,36;235,25;;;;;;;;
27;19.09.2023 10:26;TestAll Geo;300,42;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,37;;;<LOD;3,03;;;<LOD;1,5;16,03;1,27;106,73;1,96;<LOD;38,36;<LOD;1,5;<LOD;25,04;<LOD;1,5;<LOD;1,5;<LOD;1,5;103,89;11,57;<LOD;69,05;43109,05;149;612,13;28,6;240,04;18,84;133,1;7,09;4598,58;44,91;;;;;26,95;2,44;160,1;5,76;34,77;6,23;;;;;;;;;201,42;2,23;<LOD;3,48;159,71;2,33;5,4;0,52;13,19;2,07;<LOD;21,8;0,44;0,11;888842,44;450,66;25,03;1,49;244,77;18,28;160,07;15,09;722,59;25,34;26103,45;174,79;31419,84;235,26;;;;;;;;
28;19.09.2023 10:31;TestAll Geo;301,08;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,37;;;<LOD;3,11;;;<LOD;1,5;17,06;1,28;109,26;1,98;<LOD;37,98;<LOD;1,5;<LOD;24,68;<LOD;1,5;<LOD;1,5;<LOD;1,5;112,06;11,66;<LOD;69,08;43448,74;149,55;602,05;28,5;231,53;18,86;133,76;7,04;4589,3;44,4;;;;;26,15;2,43;157,54;5,72;35,09;6,25;;;;;;;;;204,22;2,25;<LOD;3,55;160,36;2,32;4,87;0,5;14,35;2,08;<LOD;21,33;0,32;0,11;888362,75;451,23;24,67;1,49;262,73;18,57;160,06;15,2;701,12;25,43;26284,29;173,65;31484,91;232,99;;;;;;;;
29;19.09.2023 10:36;TestAll Geo;300,38;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,3;;;<LOD;3,03;;;<LOD;1,5;16,11;1,27;106,61;1,96;<LOD;38,39;<LOD;1,5;<LOD;24,78;<LOD;1,5;<LOD;1,5;<LOD;1,5;121,21;11,78;<LOD;69,29;43124,39;149,12;596,03;28,42;226,16;18,94;134,93;7,09;4587,94;44,69;;;;;25,5;2,42;149,16;5,62;35,1;6,25;;;;;;;;;201,12;2,23;<LOD;3,51;158,25;2,32;5,43;0,52;12,7;2,05;<LOD;21,84;0,37;0,11;888769,25;450,37;23,98;1,47;254,38;18,27;160,86;15,02;711,37;25,17;26195,85;174,49;31377,81;234,21;;;;;;;;
30;19.09.2023 10:42;TestAll Geo;300,04;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,4;;;<LOD;3,08;;;<LOD;1,5;16,45;1,28;106,94;1,97;<LOD;38,12;<LOD;1,5;<LOD;25,58;<LOD;1,5;<LOD;1,5;<LOD;1,5;118,01;11,75;<LOD;69,34;43496,77;150,39;653,3;29,23;215,98;19,16;134,37;7,13;4598,8;44,83;;;;;27,61;2,47;154,12;5,72;33,43;6,26;;;;;;;;;202,59;2,25;<LOD;3,53;159,66;2,34;5,2;0,51;12,36;2,08;<LOD;21,66;0,32;0,11;888162,25;453,19;24,29;1,49;270,76;18,52;167,92;15,17;728,03;25,39;26319,87;175,19;31481,04;234,89;;;;;;;;
31;19.09.2023 10:47;TestAll Geo;300,45;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,44;;;<LOD;3,15;;;<LOD;1,5;16,5;1,28;110,04;1,97;<LOD;38,58;<LOD;1,5;<LOD;24,86;<LOD;1,5;<LOD;1,5;<LOD;1,5;124,12;11,73;<LOD;68,73;43437,98;149,12;626,36;28,72;232,47;18,96;133,2;7,1;4612,97;44,88;;;;;26,45;2,42;156,07;5,69;28,91;6,14;;;;;;;;;203,36;2,24;<LOD;3,48;160,33;2,32;5,2;0,51;12,96;2,06;<LOD;21,69;0,51;0,11;888520,5;451,86;26,1;1,5;261,65;18,62;172,73;15,36;719,85;25,59;26219,27;174,65;31255,95;233,99;;;;;;;;
32;19.09.2023 10:52;TestAll Geo;301,02;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,31;;;<LOD;3,08;;;<LOD;1,5;16,58;1,29;106,77;1,98;<LOD;39,09;<LOD;1,5;<LOD;24,93;<LOD;1,5;<LOD;1,5;<LOD;1,5;122,03;11,83;<LOD;69,53;43148,27;150,02;635,03;29,06;231,15;18,99;139,7;7,15;4588,25;44,84;;;;;26;2,44;152,7;5,7;36,23;6,3;;;;;;;;;201,85;2,25;<LOD;3,55;158,64;2,34;5,4;0,52;13,85;2,08;<LOD;22,09;0,26;0,1;888922,75;454,31;23,95;1,49;258,68;18,31;161,33;15,02;707,41;25,15;26103,74;174,81;31372,25;235,02;;;;;;;;
33;19.09.2023 10:58;TestAll Geo;301;ppm;Final;;;;;;;;;;;;;Juan-Marco Puerta Schardt;;;;;;;;;;<LOD;5,4;;;<LOD;3,1;;;<LOD;1,5;16,54;1,28;106,8;1,96;<LOD;39,04;<LOD;1,5;<LOD;24,57;<LOD;1,5;<LOD;1,5;<LOD;1,5;127,8;11,74;<LOD;68,62;43419,68;148,74;621,08;28,61;229,13;18,94;132,9;7,1;4596,31;44,84;;;;;28,47;2,46;154,7;5,65;27,25;6,1;;;;;;;;;203,89;2,23;<LOD;3,53;159,81;2,32;5,68;0,52;14,13;2,1;<LOD;21,48;0,44;0,11;888496,56;451,3;24,79;1,48;269,93;18,62;167,16;15,25;704,5;25,42;26170,61;174,7;31487,89;235,1;;;;;;;;
